Order Number,Line Item,ProductKey,Quantity
366000,1,1304,1
366001,1,1048,2
366001,2,2007,1
366002,1,1106,7
366002,2,373,1
366002,3,1080,4
366004,1,163,6
366004,2,1529,2
366005,1,421,4
366007,1,1617,1
366007,2,666,5
366008,1,1154,9
366008,2,2510,1
366008,3,1060,5
366009,1,1648,1
366010,1,618,5
366011,1,128,7
366011,2,1638,1
366011,3,1634,1
366011,4,2392,3
366012,1,1807,1
366012,2,1594,4
366012,3,1297,1
366013,1,1654,5
366014,1,123,1
366014,2,1700,2
366016,1,1253,7
367000,1,1176,1
367003,1,153,2
367004,1,136,1
367004,2,1637,4
367005,1,1691,1
367005,2,319,2
367005,3,1674,8
367005,4,2511,9
367005,5,1720,2
367005,6,1597,7
367005,7,784,1
367006,1,2445,3
367007,1,65,7
367007,2,1432,9
367008,1,1951,3
367009,1,934,1
367009,2,930,8
367009,3,1436,5
367009,4,1547,3
367009,5,53,5
367010,1,917,1
367010,2,39,1
367011,1,39,1
367012,1,1653,5
367012,2,145,3
367013,1,1733,2
367013,2,41,6
367014,1,1184,3
367015,1,2296,7
367016,1,1487,1
367016,2,558,7
367016,3,206,3
367017,1,1203,4
367018,1,1245,2
367018,2,1973,4
367018,3,731,4
367019,1,1947,2
367019,2,1645,7
367019,3,371,7
367020,1,448,6
367020,2,1975,1
367021,1,1445,4
367021,2,1624,6
367021,3,1615,2
367022,1,1596,1
367022,2,1253,7
367022,3,663,3
367022,4,1194,6
367023,1,1139,5
367023,2,1031,2
367024,1,302,8
367024,2,2105,5
367025,1,1608,1
367025,2,1641,2
367025,3,1574,3
367026,1,2218,2
367026,2,78,1
367027,1,2451,3
367027,2,1645,1
367027,3,1728,2
367028,1,976,1
367028,2,2017,3
367029,1,1607,1
367029,2,1223,7
367030,1,2010,7
367030,2,426,1
367031,1,120,3
367031,2,382,2
367031,3,1722,3
367031,4,132,1
368000,1,1440,1
368001,1,1598,3
369000,1,2167,9
369000,2,167,1
369001,1,1301,1
369001,2,1649,4
369002,1,1656,1
369004,1,1961,5
369004,2,1991,3
369005,1,183,3
369006,1,654,1
369007,1,2510,3
369007,2,2103,1
369007,3,1578,3
369011,1,1261,2
369012,1,1423,3
369012,2,1656,1
369012,3,1660,2
369012,4,1610,6
370000,1,1360,4
370000,2,1158,4
370000,3,457,2
370001,1,1107,3
370001,2,1591,3
370001,3,1544,7
370003,1,836,8
370003,2,1529,3
370004,1,1251,2
370005,1,1610,2
370005,2,1594,4
370006,1,1272,6
370007,1,267,1
370007,2,126,7
370008,1,2105,1
370010,1,1709,3
370010,2,2113,10
370010,3,2088,2
370011,1,32,2
370012,1,1585,3
370012,2,1689,2
370013,1,5,2
370014,1,1622,2
370014,2,2110,1
370014,3,1694,2
371000,1,81,2
371001,1,77,3
371001,2,945,2
371001,3,1033,1
371001,4,1581,5
371002,1,80,4
371002,2,2171,3
371003,1,1074,6
371003,2,127,2
371003,3,333,5
371003,4,1627,4
371003,5,64,1
371003,6,1997,3
371004,1,1305,8
371005,1,58,1
371005,2,32,7
371006,1,1279,1
371007,1,1639,1
371008,1,961,1
371008,2,1626,7
371010,1,2491,5
371010,2,1631,7
371011,1,458,5
371011,2,1573,3
371011,3,32,5
371012,1,147,1
371012,2,1576,1
371012,3,1642,3
371014,1,89,4
371014,2,337,3
371015,1,1679,5
371015,2,1659,1
371015,3,1228,1
371015,4,1458,4
371016,1,1704,2
371017,1,2084,5
371017,2,2365,1
371018,1,534,1
371018,2,1667,7
371018,3,1212,7
371018,4,2496,1
371018,5,1200,2
371018,6,1333,2
