Order Number,Order Date,Delivery Date,CustomerKey,StoreKey,Currency Code
366000,1/1/2016,,265598,10,CAD
366001,1/1/2016,1/13/2016,1269051,0,USD
366002,1/1/2016,1/12/2016,266019,0,CAD
366004,1/1/2016,,1107461,38,GBP
366005,1/1/2016,,844003,33,EUR
366007,1/1/2016,,2035771,43,USD
366008,1/1/2016,,759705,29,EUR
366009,1/1/2016,,254540,9,CAD
366010,1/1/2016,1/8/2016,370077,0,CAD
366011,1/1/2016,,1984985,66,USD
366012,1/1/2016,,1977527,65,USD
366013,1/1/2016,,1187306,41,GBP
366014,1/1/2016,1/6/2016,738549,0,EUR
366016,1/1/2016,,1982762,63,USD
367000,1/2/2016,,1438050,56,USD
367003,1/2/2016,,980164,40,GBP
367004,1/2/2016,,1853699,56,USD
367005,1/2/2016,1/10/2016,758280,0,EUR
367006,1/2/2016,,693285,18,EUR
367007,1/2/2016,,1730985,57,USD
367008,1/2/2016,,763246,28,EUR
367009,1/2/2016,,1512558,57,USD
367010,1/2/2016,,1322959,66,USD
367011,1/2/2016,,507981,22,EUR
367012,1/2/2016,,209990,9,CAD
367013,1/2/2016,,815458,31,EUR
367014,1/2/2016,,1839627,56,USD
367015,1/2/2016,,911025,42,GBP
367016,1/2/2016,,1633409,63,USD
367017,1/2/2016,,1612400,47,USD
367018,1/2/2016,,1301565,59,USD
367019,1/2/2016,,793573,29,EUR
367020,1/2/2016,,799366,29,EUR
367021,1/2/2016,,243917,10,CAD
367022,1/2/2016,,942807,42,GBP
367023,1/2/2016,,129318,2,AUD
367024,1/2/2016,,1713253,50,USD
367025,1/2/2016,,1736623,56,USD
367026,1/2/2016,,1836599,53,USD
367027,1/2/2016,,1482586,53,USD
367028,1/2/2016,1/11/2016,607356,0,EUR
367029,1/2/2016,,1260533,66,USD
367030,1/2/2016,,1843882,51,USD
367031,1/2/2016,1/7/2016,909014,0,GBP
368000,1/3/2016,,892838,32,EUR
368001,1/3/2016,,1670789,64,USD
369000,1/4/2016,,1143828,37,GBP
369001,1/4/2016,,269337,8,CAD
369002,1/4/2016,,258316,8,CAD
369004,1/4/2016,,1389462,65,USD
369005,1/4/2016,,1866637,56,USD
369006,1/4/2016,,734605,28,EUR
369007,1/4/2016,,571622,20,EUR
369011,1/4/2016,1/9/2016,1664824,0,USD
369012,1/4/2016,1/13/2016,1696695,0,USD
370000,1/5/2016,,2032025,51,USD
370001,1/5/2016,,1884908,61,USD
370003,1/5/2016,,2092033,66,USD
370004,1/5/2016,,1473090,43,USD
370005,1/5/2016,,584095,24,EUR
370006,1/5/2016,,661636,16,EUR
370007,1/5/2016,,623659,15,EUR
370008,1/5/2016,,183264,4,AUD
370010,1/5/2016,,1393738,48,USD
370011,1/5/2016,,1522590,47,USD
370012,1/5/2016,,1780669,53,USD
370013,1/5/2016,,5097,6,AUD
370014,1/5/2016,,1475886,51,USD
371000,1/6/2016,,728834,30,EUR
371001,1/6/2016,,76021,2,AUD
371002,1/6/2016,,1955971,53,USD
371003,1/6/2016,,778259,28,EUR
371004,1/6/2016,1/14/2016,1378439,0,USD
371005,1/6/2016,,1923558,48,USD
371006,1/6/2016,1/15/2016,1501383,0,USD
371007,1/6/2016,1/18/2016,1378439,0,USD
371008,1/6/2016,,2053617,50,USD
371010,1/6/2016,,1716584,53,USD
371011,1/6/2016,1/14/2016,776266,0,EUR
371012,1/6/2016,,363872,8,CAD
371014,1/6/2016,,1161615,40,GBP
371015,1/6/2016,1/14/2016,1669745,0,USD
371016,1/6/2016,,879778,32,EUR
371017,1/6/2016,,1918687,61,USD
371018,1/6/2016,,1041466,36,GBP
371019,1/6/2016,,916074,41,GBP
372000,1/7/2016,1/22/2016,1413890,0,USD
372001,1/7/2016,,1412534,63,USD
372002,1/7/2016,,1718240,47,USD
372003,1/7/2016,,527409,19,EUR
